"day","n","group","any","rand"
0,1,1,1,2379
0,0,1,0,2698
0,0,1,0,3052
0,0,1,0,1314
0,2,1,1,9299
0,0,1,0,7355
0,0,1,0,4399
0,0,1,0,6087
0,0,1,0,1456
0,0,1,0,6175
0,0,1,0,1012
0,0,1,0,9149
0,3,1,1,5532
0,0,1,0,4021
0,0,1,0,2126
0,0,1,0,2269
0,0,1,0,6437
0,0,1,0,3813
0,0,1,0,5213
0,2,1,1,5901
0,0,1,0,1655
0,0,1,0,9136
0,0,1,0,3695
0,0,1,0,5887
0,1,1,1,2416
0,0,1,0,3073
0,0,1,0,6399
0,0,1,0,1883
1,0,1,0,2379
1,0,1,0,2698
1,0,1,0,3052
1,0,1,0,1314
1,0,1,0,9299
1,0,1,0,7355
1,0,1,0,4399
1,0,1,0,6087
1,0,1,0,1456
1,0,1,0,6175
1,0,1,0,1012
1,0,1,0,9149
1,0,1,0,5532
1,0,1,0,4021
1,0,1,0,2126
1,0,1,0,2269
1,2,1,1,6437
1,0,1,0,3813
1,0,1,0,5213
1,3,1,1,5901
1,0,1,0,1655
1,0,1,0,9136
1,0,1,0,3695
1,0,1,0,5887
1,0,1,0,2416
1,2,1,1,3073
1,0,1,0,6399
1,0,1,0,1883
2,0,1,0,2379
2,0,1,0,2698
2,0,1,0,3052
2,0,1,0,1314
2,0,1,0,9299
2,0,1,0,7355
2,0,1,0,4399
2,2,1,1,6087
2,0,1,0,1456
2,0,1,0,6175
2,0,1,0,1012
2,0,1,0,9149
2,0,1,0,5532
2,0,1,0,4021
2,0,1,0,2126
2,0,1,0,2269
2,0,1,0,6437
2,0,1,0,3813
2,0,1,0,5213
2,0,1,0,5901
2,0,1,0,1655
2,0,1,0,9136
2,0,1,0,3695
2,0,1,0,5887
2,0,1,0,2416
2,0,1,0,3073
2,0,1,0,6399
2,0,1,0,1883
3,0,1,0,2379
3,0,1,0,2698
3,0,1,0,3052
3,0,1,0,1314
3,0,1,0,9299
3,0,1,0,7355
3,0,1,0,4399
3,0,1,0,6087
3,0,1,0,1456
3,0,1,0,6175
3,0,1,0,1012
3,0,1,0,9149
3,0,1,0,5532
3,0,1,0,4021
3,0,1,0,2126
3,0,1,0,2269
3,0,1,0,6437
3,0,1,0,3813
3,0,1,0,5213
3,0,1,0,5901
3,0,1,0,1655
3,0,1,0,9136
3,0,1,0,3695
3,0,1,0,5887
3,0,1,0,2416
3,0,1,0,3073
3,0,1,0,6399
3,0,1,0,1883
4,0,1,0,2379
4,0,1,0,2698
4,0,1,0,3052
4,0,1,0,1314
4,0,1,0,9299
4,0,1,0,7355
4,0,1,0,4399
4,0,1,0,6087
4,0,1,0,1456
4,0,1,0,6175
4,0,1,0,1012
4,0,1,0,9149
4,0,1,0,5532
4,0,1,0,4021
4,0,1,0,2126
4,0,1,0,2269
4,0,1,0,6437
4,0,1,0,3813
4,0,1,0,5213
4,1,1,1,5901
4,0,1,0,1655
4,0,1,0,9136
4,0,1,0,3695
4,0,1,0,5887
4,0,1,0,2416
4,0,1,0,3073
4,0,1,0,6399
4,0,1,0,1883
5,1,1,1,2379
5,0,1,0,2698
5,0,1,0,3052
5,0,1,0,1314
5,0,1,0,9299
5,0,1,0,7355
5,0,1,0,4399
5,1,1,1,6087
5,0,1,0,1456
5,0,1,0,6175
5,0,1,0,1012
5,0,1,0,9149
5,1,1,1,5532
5,0,1,0,4021
5,0,1,0,2126
5,0,1,0,2269
5,0,1,0,6437
5,0,1,0,3813
5,0,1,0,5213
5,0,1,0,5901
5,0,1,0,1655
5,0,1,0,9136
5,0,1,0,3695
5,0,1,0,5887
5,0,1,0,2416
5,0,1,0,3073
5,0,1,0,6399
5,0,1,0,1883
6,0,1,0,2379
6,0,1,0,2698
6,0,1,0,3052
6,0,1,0,1314
6,0,1,0,9299
6,0,1,0,7355
6,0,1,0,4399
6,0,1,0,6087
6,0,1,0,1456
6,0,1,0,6175
6,0,1,0,1012
6,0,1,0,9149
6,0,1,0,5532
6,0,1,0,4021
6,0,1,0,2126
6,0,1,0,2269
6,0,1,0,6437
6,0,1,0,3813
6,0,1,0,5213
6,0,1,0,5901
6,0,1,0,1655
6,0,1,0,9136
6,0,1,0,3695
6,0,1,0,5887
6,0,1,0,2416
6,0,1,0,3073
6,0,1,0,6399
6,0,1,0,1883
7,0,1,0,2379
7,0,1,0,2698
7,0,1,0,3052
7,0,1,0,1314
7,0,1,0,9299
7,0,1,0,7355
7,0,1,0,4399
7,0,1,0,6087
7,0,1,0,1456
7,0,1,0,6175
7,0,1,0,1012
7,0,1,0,9149
7,0,1,0,5532
7,0,1,0,4021
7,0,1,0,2126
7,0,1,0,2269
7,0,1,0,6437
7,0,1,0,3813
7,0,1,0,5213
7,0,1,0,5901
7,0,1,0,1655
7,0,1,0,9136
7,0,1,0,3695
7,0,1,0,5887
7,0,1,0,2416
7,0,1,0,3073
7,0,1,0,6399
7,0,1,0,1883
8,0,1,0,2379
8,0,1,0,2698
8,0,1,0,3052
8,0,1,0,1314
8,0,1,0,9299
8,0,1,0,7355
8,0,1,0,4399
8,0,1,0,6087
8,0,1,0,1456
8,0,1,0,6175
8,0,1,0,1012
8,0,1,0,9149
8,0,1,0,5532
8,0,1,0,4021
8,0,1,0,2126
8,0,1,0,2269
8,0,1,0,6437
8,0,1,0,3813
8,0,1,0,5213
8,0,1,0,5901
8,0,1,0,1655
8,0,1,0,9136
8,0,1,0,3695
8,0,1,0,5887
8,0,1,0,2416
8,0,1,0,3073
8,0,1,0,6399
8,0,1,0,1883
9,0,1,0,2379
9,0,1,0,2698
9,0,1,0,3052
9,0,1,0,1314
9,0,1,0,9299
9,0,1,0,7355
9,0,1,0,4399
9,0,1,0,6087
9,0,1,0,1456
9,0,1,0,6175
9,0,1,0,1012
9,0,1,0,9149
9,0,1,0,5532
9,0,1,0,4021
9,0,1,0,2126
9,0,1,0,2269
9,0,1,0,6437
9,0,1,0,3813
9,0,1,0,5213
9,0,1,0,5901
9,0,1,0,1655
9,0,1,0,9136
9,0,1,0,3695
9,0,1,0,5887
9,0,1,0,2416
9,0,1,0,3073
9,0,1,0,6399
9,0,1,0,1883
10,0,1,0,2379
10,0,1,0,2698
10,0,1,0,3052
10,0,1,0,1314
10,0,1,0,9299
10,0,1,0,7355
10,0,1,0,4399
10,2,1,1,6087
10,0,1,0,1456
10,0,1,0,6175
10,0,1,0,1012
10,0,1,0,9149
10,1,1,1,5532
10,0,1,0,4021
10,0,1,0,2126
10,0,1,0,2269
10,2,1,1,6437
10,0,1,0,3813
10,0,1,0,5213
10,0,1,0,5901
10,0,1,0,1655
10,0,1,0,9136
10,0,1,0,3695
10,0,1,0,5887
10,0,1,0,2416
10,0,1,0,3073
10,0,1,0,6399
10,0,1,0,1883
11,5,1,1,2379
11,0,1,0,2698
11,0,1,0,3052
11,0,1,0,1314
11,0,1,0,9299
11,0,1,0,7355
11,0,1,0,4399
11,0,1,0,6087
11,0,1,0,1456
11,7,1,1,6175
11,9,1,1,1012
11,0,1,0,9149
11,7,1,1,5532
11,4,1,1,4021
11,0,1,0,2126
11,0,1,0,2269
11,17,1,1,6437
11,0,1,0,3813
11,0,1,0,5213
11,0,1,0,5901
11,0,1,0,1655
11,0,1,0,9136
11,0,1,0,3695
11,0,1,0,5887
11,0,1,0,2416
11,0,1,0,3073
11,0,1,0,6399
11,0,1,0,1883
12,2,1,1,2379
12,0,1,0,2698
12,0,1,0,3052
12,0,1,0,1314
12,0,1,0,9299
12,0,1,0,7355
12,0,1,0,4399
12,6,1,1,6087
12,0,1,0,1456
12,4,1,1,6175
12,8,1,1,1012
12,0,1,0,9149
12,12,1,1,5532
12,0,1,0,4021
12,0,1,0,2126
12,0,1,0,2269
12,14,1,1,6437
12,0,1,0,3813
12,0,1,0,5213
12,0,1,0,5901
12,0,1,0,1655
12,0,1,0,9136
12,0,1,0,3695
12,0,1,0,5887
12,0,1,0,2416
12,0,1,0,3073
12,0,1,0,6399
12,0,1,0,1883
13,0,1,0,2379
13,0,1,0,2698
13,0,1,0,3052
13,0,1,0,1314
13,0,1,0,9299
13,0,1,0,7355
13,0,1,0,4399
13,1,1,1,6087
13,0,1,0,1456
13,0,1,0,6175
13,2,1,1,1012
13,0,1,0,9149
13,0,1,0,5532
13,0,1,0,4021
13,0,1,0,2126
13,0,1,0,2269
13,2,1,1,6437
13,0,1,0,3813
13,0,1,0,5213
13,0,1,0,5901
13,0,1,0,1655
13,0,1,0,9136
13,0,1,0,3695
13,0,1,0,5887
13,0,1,0,2416
13,0,1,0,3073
13,0,1,0,6399
13,0,1,0,1883
14,0,1,0,2379
14,0,1,0,2698
14,0,1,0,3052
14,0,1,0,1314
14,0,1,0,9299
14,0,1,0,7355
14,0,1,0,4399
14,0,1,0,6087
14,0,1,0,1456
14,0,1,0,6175
14,0,1,0,1012
14,0,1,0,9149
14,0,1,0,5532
14,0,1,0,4021
14,0,1,0,2126
14,0,1,0,2269
14,0,1,0,6437
14,0,1,0,3813
14,0,1,0,5213
14,0,1,0,5901
14,0,1,0,1655
14,0,1,0,9136
14,0,1,0,3695
14,0,1,0,5887
14,0,1,0,2416
14,0,1,0,3073
14,0,1,0,6399
14,0,1,0,1883
15,3,1,1,2379
15,0,1,0,2698
15,0,1,0,3052
15,0,1,0,1314
15,0,1,0,9299
15,0,1,0,7355
15,0,1,0,4399
15,0,1,0,6087
15,0,1,0,1456
15,0,1,0,6175
15,2,1,1,1012
15,0,1,0,9149
15,0,1,0,5532
15,0,1,0,4021
15,0,1,0,2126
15,0,1,0,2269
15,1,1,1,6437
15,0,1,0,3813
15,0,1,0,5213
15,0,1,0,5901
15,0,1,0,1655
15,0,1,0,9136
15,0,1,0,3695
15,0,1,0,5887
15,0,1,0,2416
15,0,1,0,3073
15,0,1,0,6399
15,0,1,0,1883
16,5,1,1,2379
16,0,1,0,2698
16,0,1,0,3052
16,0,1,0,1314
16,0,1,0,9299
16,0,1,0,7355
16,0,1,0,4399
16,1,1,1,6087
16,0,1,0,1456
16,0,1,0,6175
16,4,1,1,1012
16,0,1,0,9149
16,2,1,1,5532
16,0,1,0,4021
16,0,1,0,2126
16,0,1,0,2269
16,2,1,1,6437
16,0,1,0,3813
16,0,1,0,5213
16,0,1,0,5901
16,0,1,0,1655
16,0,1,0,9136
16,0,1,0,3695
16,0,1,0,5887
16,0,1,0,2416
16,0,1,0,3073
16,0,1,0,6399
16,0,1,0,1883
17,0,1,0,2379
17,0,1,0,2698
